Name,Type,Min X,Max X,Min Z,Max Z,Center X,Center Z,Width (X),Depth (Z)
Floor 1,Floor,-5.00,9.00,-2.75,8.75,2.00,3.00,14.00,11.50
Floor 2,Floor,-9.00,9.00,-8.75,-2.75,0.00,-5.75,18.00,6.00
wallx1,Wall,9.00,9.35,-8.75,-2.25,9.175,-5.50,0.35,6.50
doorx1,Door,9.00,9.35,-2.25,-1.25,9.175,-1.75,0.35,1.00
wallx2,Wall,9.00,9.35,-1.25,4.25,9.175,1.50,0.35,5.50
doorx2,Door,9.00,9.35,4.25,5.25,9.175,4.75,0.35,1.00
wallx3,Wall,9.00,9.35,5.25,8.75,9.175,7.00,0.35,3.50
wallx4,Wall,-9.35,-9.00,-8.75,-2.40,-9.175,-5.575,0.35,6.35
wallx5,Wall,-5.35,-5.00,-2.75,1.25,-5.175,-0.75,0.35,4.00
doorx3,Door,-5.35,-5.00,1.25,2.25,-5.175,1.75,0.35,1.00
wallx6,Wall,-5.35,-5.00,2.25,8.75,-5.175,5.50,0.35,6.50
wallz1,Wall,-9.35,9.35,-9.10,-8.75,0.00,-8.925,18.70,0.35
doorz1,Door,-9.00,-5.35,-2.75,-2.40,-7.175,-2.575,3.65,0.35
wallz2,Wall,-5.35,-3.00,8.75,9.10,-4.175,8.925,2.35,0.35
doorz2,Door,-3.00,2.50,8.75,9.10,-0.25,8.925,5.50,0.35
wallz3,Wall,2.50,9.35,8.75,9.10,5.925,8.925,6.85,0.35
pillar,Pillar,2.00,3.00,1.25,2.25,2.50,1.75,1.00,1.00
table_p1,Furniture,2.00,3.00,-3.25,1.25,2.50,-1.00,1.00,4.50
table_p2,Furniture,2.00,3.00,3.25,7.75,2.50,5.50,1.00,4.50
table_v1,Furniture,4.50,7.50,-4.50,-3.50,6.00,-4.00,3.00,1.00
table_v2,Furniture,4.50,7.50,-1.50,-0.50,6.00,-1.00,3.00,1.00
table_v3,Furniture,4.50,7.50,1.25,2.25,6.00,1.75,3.00,1.00
table_v4,Furniture,4.50,7.50,4.05,5.05,6.00,4.55,3.00,1.00
table_v5,Furniture,4.50,7.50,6.85,7.85,6.00,7.35,3.00,1.00
workbench_v1,Furniture,-0.78,1.02,-3.475,1.275,0.12,-1.10,1.80,4.75
workbench_v2,Furniture,-0.78,1.02,2.275,7.025,0.12,4.65,1.80,4.75
workbench_v3,Furniture,-4.05,-2.25,-3.475,1.275,-3.15,-1.10,1.80,4.75
workbench_v4,Furniture,-4.05,-2.25,2.275,7.025,-3.15,4.65,1.80,4.75
buggy,Vehicle,-8.40,-6.60,-8.50,-7.50,-7.50,-8.00,1.80,1.00